,title,region,region_name,price_title,property_size,bedrooms,bathrooms,furnishing,boosted,state,price_m2
764,"4bdrm Duplex in Location : Golden, Ajah for sale","Lagos State, Ajah",Ajah,150000000.0,350,4,5,Unfurnished,1,Lagos,428571.0
765,"2bdrm Apartment in Mobile Road Ilaje, Ajah for sale","Lagos State, Ajah",Ajah,70000000.0,600,2,2,Unfurnished,1,Lagos,116667.0
766,5bdrm Duplex in Sangotedo for sale,"Ajah, Sangotedo",Sangotedo,350000000.0,300,5,5,Semi-furnished,1,Lagos,1166667.0
767,"Furnished 6bdrm House in Prime Property, Benin City for sale","Edo State, Benin City",Benin City,70000000.0,200,6,6,Furnished,1,Edo,350000.0
768,"Furnished 3bdrm House in Therra Annex Estate, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,90000000.0,500,3,3,Furnished,1,Lagos,180000.0
769,"4bdrm Duplex in Ikota, Lekki. Lagos for sale","Lekki, Ikota",Ikota,165000000.0,200,4,4,Semi-furnished,1,Lagos,825000.0
770,2bdrm Apartment in Lekki Phase 1. Lagos for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,290000000.0,190,2,2,Semi-furnished,1,Lagos,1526316.0
771,"4bdrm Duplex in Sangotedo, Ajah. for sale","Lagos State, Ajah",Ajah,170000000.0,270,4,4,Semi-furnished,1,Lagos,629630.0
772,12bdrm Duplex in Benin City for sale,"Edo State, Benin City",Benin City,360000000.0,292,12,12,Unfurnished,1,Edo,1232877.0
773,3bdrm Block of Flats in Trade Fair for sale,"Apapa, Trade Fair",Trade Fair,250000000.0,600,3,3,Unfurnished,1,Lagos,416667.0
774,"Furnished 5bdrm Duplex in Lekki Country, Ikota for sale","Lekki, Ikota",Ikota,330000000.0,700,5,5,Furnished,1,Lagos,471429.0
775,"3bdrm Block of Flats in Egbeda Lagos, Alimosho for sale","Lagos State, Alimosho",Alimosho,120000000.0,645,3,3,Semi-furnished,1,Lagos,186047.0
776,"Furnished 4bdrm Duplex in Magodo G R A, GRA Phase 1 for sale","Magodo, GRA Phase 1",GRA Phase 1,370000000.0,500,4,4,Furnished,1,Lagos,740000.0
777,"4bdrm Duplex in Mini Estate, Guzape District for sale","Abuja (FCT), Guzape District",Guzape District,350000000.0,2000,4,5,Unfurnished,1,Abuja,175000.0
778,Furnished 4bdrm Duplex in Magodo Gra Phase 2 for sale,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,550000000.0,500,4,5,Furnished,1,Lagos,1100000.0
779,4bdrm Mansion in Kaura for sale,"Abuja (FCT), Kaura",Kaura,360000000.0,400,4,4,Unfurnished,1,Abuja,900000.0
780,"3bdrm Apartment in Kukwaba, Kaura for sale","Abuja (FCT), Kaura",Kaura,120000000.0,250,3,3,Unfurnished,1,Abuja,480000.0
781,"3bdrm Apartment in In A Secured Estate, Lekki Phase 1 for sale","Lekki, Lekki Phase 1",Lekki Phase 1,400000000.0,200,3,3,Unfurnished,1,Lagos,2000000.0
782,"4bdrm Duplex in Orchild Road, Chevron for sale","Lekki, Chevron",Chevron,250000000.0,550,4,4,Semi-furnished,1,Lagos,454545.0
783,3bdrm Apartment in Lekki Phase1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,480000000.0,600,3,3,Semi-furnished,1,Lagos,800000.0
784,5bdrm Duplex in Orchid Lekki Lagos for sale,"Lagos State, Lekki",Lekki,330000000.0,600,5,5,Semi-furnished,1,Lagos,550000.0
785,4bdrm House in Osapa London Lekki for sale,"Lekki, Osapa london",Osapa london,420000000.0,600,4,4,Semi-furnished,1,Lagos,700000.0
786,Furnished 3bdrm Apartment in Abraham Adesanya Estate for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,170000000.0,400,3,3,Furnished,1,Lagos,425000.0
